Date,Symbol,Open,High,Low,Close,Volume,fetch_time
2025-01-14 14:52:00+00:00,AAPL,235.52499389648438,235.56520080566406,235.23460388183594,235.36000061035156,57087,2025-01-15 05:14:03.009777+00:00
2025-01-14 14:53:00+00:00,AAPL,235.3300018310547,235.33999633789062,235.02020263671875,235.0500030517578,71270,2025-01-15 05:14:03.009777+00:00
2025-01-14 14:54:00+00:00,AAPL,235.02000427246094,235.1999969482422,234.9600067138672,235.17999267578125,96262,2025-01-15 05:14:03.009777+00:00
2025-01-14 14:55:00+00:00,AAPL,235.14999389648438,235.3000030517578,235.0500030517578,235.27000427246094,65247,2025-01-15 05:14:03.009777+00:00
2025-01-14 14:56:00+00:00,AAPL,235.25,235.25,235.0,235.10000610351562,91866,2025-01-15 05:14:03.009777+00:00
2025-01-14 14:57:00+00:00,AAPL,235.1300048828125,235.1699981689453,234.97000122070312,235.03199768066406,66284,2025-01-15 05:14:03.009777+00:00
2025-01-14 14:58:00+00:00,AAPL,235.00999450683594,235.10000610351562,234.96730041503906,234.97999572753906,56381,2025-01-15 05:14:03.009777+00:00
2025-01-14 14:59:00+00:00,AAPL,235.0,235.0050048828125,234.8300018310547,234.9250030517578,85839,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:00:00+00:00,AAPL,234.93699645996094,234.99960327148438,234.75999450683594,234.99960327148438,109963,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:01:00+00:00,AAPL,234.97999572753906,235.25,234.94000244140625,235.2100067138672,87886,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:02:00+00:00,AAPL,235.2100067138672,235.28500366210938,235.10000610351562,235.11129760742188,71345,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:03:00+00:00,AAPL,235.1300048828125,235.32989501953125,235.1230010986328,235.1999969482422,51348,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:04:00+00:00,AAPL,235.2100067138672,235.42999267578125,235.19000244140625,235.38999938964844,47330,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:05:00+00:00,AAPL,235.3699951171875,235.5,235.30099487304688,235.47000122070312,49121,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:06:00+00:00,AAPL,235.47000122070312,235.57000732421875,235.39999389648438,235.4199981689453,88213,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:07:00+00:00,AAPL,235.4250030517578,235.49349975585938,235.3300018310547,235.49349975585938,55901,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:08:00+00:00,AAPL,235.5,235.64610290527344,235.4499969482422,235.52999877929688,66836,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:09:00+00:00,AAPL,235.52999877929688,235.6761016845703,235.47999572753906,235.497802734375,72017,2025-01-15 05:14:03.009777+00:00
