,asset1,asset2,mean,std,min,max,negative_pct,missing_pct
AMGN|||GOOGL,AMGN,GOOGL,0.2135249012725165,0.1346046783122406,-0.032527362924260624,0.5644397114256543,3.0,5.800000000000001
AMGN|||HON,AMGN,HON,0.3322540033213685,0.14620094201905162,0.02604537007904089,0.6098687878848389,0.0,5.800000000000001
AMGN|||IDXX,AMGN,IDXX,0.2458933951585403,0.11191587011984487,0.006040946923081408,0.5095625179434311,0.0,5.800000000000001
AMGN|||INTC,AMGN,INTC,0.23781986067406186,0.13520939499846288,-0.0671939992051911,0.5435569577734038,6.6000000000000005,5.800000000000001
AMGN|||INTU,AMGN,INTU,0.2230270934817387,0.10811338465958348,0.007710082335158032,0.5118630859431048,0.0,5.800000000000001
AMGN|||ISRG,AMGN,ISRG,0.20035826705318052,0.14677710760781074,-0.1741429597081337,0.5551619962707274,9.0,5.800000000000001
AMGN|||KDP,AMGN,KDP,0.30677121515159317,0.20929994562265292,-0.06478027869169545,0.6522087088720938,5.0,5.800000000000001
AMGN|||KHC,AMGN,KHC,0.30921415094352545,0.13850810096078314,-0.03186837775341791,0.5364187030178011,3.8,5.800000000000001
AMGN|||KLAC,AMGN,KLAC,0.15592236834567325,0.13718334295765958,-0.16966220339611662,0.4490201338021257,16.0,5.800000000000001
AMGN|||LIN,AMGN,LIN,0.21092342302964057,0.09356074531026867,-0.012758729692651877,0.4860036033499682,0.8,5.800000000000001
AMGN|||LRCX,AMGN,LRCX,0.1379455163760979,0.12916784044393792,-0.19430321293884273,0.3921537679989067,16.8,5.800000000000001
AMGN|||LULU,AMGN,LULU,0.22661647507235366,0.096989267348369,0.01294060028097458,0.4991108935753316,0.0,5.800000000000001
AMGN|||MAR,AMGN,MAR,0.17019312585323246,0.1300982634213846,-0.15250835069234744,0.44166577049891276,13.4,5.800000000000001
AMGN|||MCHP,AMGN,MCHP,0.18298737441992874,0.17840776326807978,-0.16254957666451178,0.5004661579548463,23.799999999999997,5.800000000000001
AMGN|||MDB,AMGN,MDB,0.06025226973108447,0.08981169220338261,-0.10647656329249829,0.3176863486921572,27.200000000000003,5.800000000000001
AMGN|||MDLZ,AMGN,MDLZ,0.3424612015275436,0.18627826421604182,-0.03480909273413341,0.6653689211434686,7.000000000000001,5.800000000000001
AMGN|||MELI,AMGN,MELI,0.10819311296205962,0.1268116597775473,-0.1828837744220791,0.4569906880930423,16.2,5.800000000000001
AMGN|||META,AMGN,META,0.14413324386127327,0.1524233195318588,-0.2321063223641664,0.5221761281313312,14.000000000000002,5.800000000000001
AMGN|||MNST,AMGN,MNST,0.22789679448414174,0.12340534277130977,-0.07073588474777652,0.49918115687790116,1.7999999999999998,5.800000000000001
AMGN|||MRVL,AMGN,MRVL,0.13870155600185993,0.146616881256943,-0.16199136172207915,0.44025224108513483,17.2,5.800000000000001
AMGN|||MSFT,AMGN,MSFT,0.20083564225506872,0.14760944993284347,-0.1746721787011316,0.5127493318665004,10.0,5.800000000000001
AMGN|||MSTR,AMGN,MSTR,0.1511591446491545,0.10887235612552795,-0.17677339259607916,0.4000783785664869,7.000000000000001,5.800000000000001
AMGN|||MU,AMGN,MU,0.16150860058470612,0.18070467235201618,-0.22917796599489534,0.4949083678203068,22.2,5.800000000000001
AMGN|||NFLX,AMGN,NFLX,0.14974054816380364,0.14462879009773996,-0.08286700704077667,0.546557791995998,12.2,5.800000000000001
AMGN|||NVDA,AMGN,NVDA,0.10172582635954516,0.14598647140372914,-0.2580720295970346,0.3434375403135198,18.8,5.800000000000001
AMGN|||NXPI,AMGN,NXPI,0.2162574493290979,0.14299167566628232,-0.10148316047167615,0.5209992574929325,8.0,5.800000000000001
AMGN|||ODFL,AMGN,ODFL,0.15537932587405737,0.13912264230730373,-0.15973743942917853,0.44600494925974526,12.6,5.800000000000001
AMGN|||ON,AMGN,ON,0.12926663439735608,0.16451858441769274,-0.2303655355645201,0.4042162982824816,24.6,5.800000000000001
AMGN|||ORLY,AMGN,ORLY,0.32441053693215555,0.181214959629572,-0.0017742320891588244,0.6306899859757397,0.2,5.800000000000001
