Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
ACT,"Enact Holdings Inc",34.97,0.12,+0.34%,34.97,35.2,34.66,280100,2025-07-21
ACTG,"Acacia Res-Acacia",3.64,-0.06,-1.62%,3.71,3.79,3.63,106700,2025-07-21
ACTU,"Actuate Therapeutics Inc",5.66,-0.1,-1.74%,5.7,5.98,5.47,77600,2025-07-21
ACU,"Acme United Corp",42.07,0.46,+1.11%,42.2,42.65,41.275,7337,"18:30 ET"
ACVA,"Acv Auctions Inc Cl A",14.95,-0.15,-0.99%,15.16,15.27,14.92,1975836,"18:30 ET"
ADCT,"Adc Therapeutics Sa",3.14,0.11,+3.63%,3.07,3.19,3.0443,397923,"18:30 ET"
ADEA,"Adeia Inc",13.83,0.01,+0.07%,13.85,13.94,13.78,430600,2025-07-21
ADMA,"Adma Biologics",17.13,0.4,+2.39%,16.8,17.38,16.78,2164600,2025-07-21
ADNT,"Adient Plc",22.13,0.38,+1.75%,22.07,22.509,21.89,1193861,"18:30 ET"
ADPT,"Adaptive Biotechnologies Corp",10.31,-0.08,-0.77%,10.5,10.77,10.22,1497000,2025-07-21
ADTN,"Adtran Holdings Inc",9.45,0.04,+0.43%,9.4,9.46,9.1,1040000,2025-07-21
ADUS,"Addus Homecare Corp",107.4,0.37,+0.35%,107,109.01,106.03,112700,2025-07-21
ADV,"Advantage Solutions Inc",1.48,0.02,+1.37%,1.47,1.52,1.4511,228800,2025-07-21
ADVM,"Adverum Biotechnologies Inc",2.71,-0.06,-2.17%,2.81,2.89,2.68,101200,2025-07-21
AEHR,"Aehr Test Systems",16.45,1.38,+9.16%,15.03,16.77,15.03,1612600,2025-07-21
AEIS,"Advanced Energy",142.66,-0.59,-0.41%,143.9,145.52,142.18,276500,2025-07-21
AEO,"American Eagle Outfitters",9.92,-0.02,-0.20%,10.08,10.2,9.86,5184373,"18:30 ET"
AESI,"Atlas Energy Solutions Inc Cl A",13.2,-0.22,-1.64%,13.63,13.63,13.13,1609251,"18:30 ET"
AEVA,"Aeva Technologies Inc",26.57,-5.66,-17.56%,32.61,32.79,26.41,3608600,2025-07-21
AEYE,"Audioeye Inc",12.32,0.02,+0.16%,12.45,12.88,11.92,73900,2025-07-21
AFCG,"Advanced Flower Capital Inc",4.51,-0.06,-1.31%,4.62,4.67,4.51,88400,2025-07-21
AFRI,"Forafric Global Plc",7.78,-0.02,-0.26%,7.75,7.8,7.73,21000,2025-07-21
AGEN,"Agenus Inc",6.09,-0.06,-0.98%,6.21,6.57,5.99,751000,2025-07-21
AGIO,"Agios Pharmaceuticals",39.92,-0.08,-0.20%,40.09,40.6,39.65,429800,2025-07-21
AGL,"Agilon Health Inc",2.14,0.02,+0.94%,2.13,2.24,2.12,2112284,"18:30 ET"
AGM,"Federal Agricultural Mortgage Corp",174.87,0.53,+0.30%,174.34,175.64,173.3,47037,"18:30 ET"
AGX,"Argan Inc",207.07,0.44,+0.21%,206.63,211.6076,203,387264,"18:30 ET"
AGYS,"Agilysys Inc",116.94,1.73,+1.50%,115.97,118.47,115.25,387600,2025-07-21
AHCO,"Adapthealth Corp Cl. A",9.15,-0.07,-0.76%,9.23,9.43,9.08,733000,2025-07-21
AHH,"Armada Hoffler Properties Inc",7.02,-0.06,-0.85%,7.13,7.205,7.01,601178,"18:30 ET"
AHR,"American Healthcare REIT Inc",37.85,0.020000000000003,+0.05%,37.72,38.24,37.59,982206,"18:30 ET"
AI,"C3.Ai Inc Cl A",28.33,-0.38,-1.32%,28.95,30.11,28.115,8133239,"18:30 ET"
AIN,"Albany International Corp",69.95,0.16,+0.23%,69.97,70.46,69.32,204569,"18:30 ET"
AIOT,"Powerfleet Inc",4.48,0.06,+1.36%,4.46,4.57,4.39,1045000,2025-07-21
AIP,"Arteris Inc",9.75,-0.07,-0.71%,9.99,9.99,9.69,270400,2025-07-21
AIR,"AAR Corp",80.55,-3.09,-3.69%,83.69,83.87,80.47,445303,"18:30 ET"
AIRJ,"Airjoule Technologies Corp",4.39,-0.23,-4.98%,4.61,4.72,4.36,105500,2025-07-21
AIRS,"Airsculpt Technologies Inc",5.61,0.05,+0.90%,5.57,5.77,5.49,404100,2025-07-21
AISP,"Airship Ai Holdings Inc",5.62,-0.16,-2.77%,5.95,6.3,5.56,2080300,2025-07-21
AIV,"Apartment Investment and Management",8.67,0.02,+0.23%,8.68,8.775,8.65,498662,"18:30 ET"
AKBA,"Akebia Therapeutics",3.84,-0.02,-0.52%,3.88,3.93,3.77,2554800,2025-07-21
AKR,"Acadia Realty Trust",18.61,0.059999999999999,+0.32%,18.72,18.95,18.58,772645,"18:30 ET"
AKRO,"Akero Therapeutics Inc",51.38,-0.7,-1.34%,51.82,52.81,51.12,606600,2025-07-21
ALCO,"Alico Inc",32.13,-0.2,-0.62%,32.31,32.68,32.11,20400,2025-07-21
ALDX,"Aldeyra Therapeu",5.39,0,0.00%,5.37,5.47,5.24,1436400,2025-07-21
ALE,"Allete Inc",66.06,0.41,+0.62%,65.65,66.14,65.59,723162,"18:30 ET"
ALEC,"Alector Inc",1.62,0.03,+1.89%,1.57,1.66,1.56,409100,2025-07-21
ALEX,"Alexander and Baldwin Inc",17.57,-0.07,-0.40%,17.7,17.805,17.53,416950,"18:30 ET"
ALG,"Alamo Group",216.04,-1.11,-0.51%,218.33,218.73,215.53,52769,"18:30 ET"
ALGT,"Allegiant Travel Com",51.45,-0.24,-0.46%,52.31,52.53,51.05,313100,2025-07-21
ALHC,"Alignment Healthcare Inc",12.5,0.09,+0.73%,12.32,12.61,12.12,4488100,2025-07-21
